Data,Show,Evento,Local,ENDEREÇO,GRATUITO,Abertura,INTERNACIONAL,FESTIVAL,ACOMPANHADA,Latitude,Longitude
09/11/2013,Móveis Coloniais de Acaju,FNAC Paulista,FNAC Paulista,"Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100",True,False,False,False,True,-23.56579,-46.65145
06/12/2014,Tiago Iorc,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,True,-23.1923541,-46.8809098
08/11/2015,Vanguart,SESC Pinheiros,SESC Pinheiros,"R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150",False,False,False,False,True,-23.5677223,-46.69759149999999
13/02/2016,Dingo Bells,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,True,-23.5714751,-46.6402144
13/02/2016,Maglore,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,True,-23.5714751,-46.6402144
21/04/2016,Móveis Coloniais de Acaju,SESC Bom Retiro,SESC Bom Retiro,"Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000",True,False,False,False,True,-23.5310655,-46.6433043
19/08/2016,Selvagens à Procura de Lei,Livraria Cultura Bourbon,Bourbon Shopping,"Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030",True,False,False,False,True,-23.526536,-46.68102
19/11/2016,Móveis Coloniais de Acaju,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,False,False,False,True,-23.5538209,-46.6461313
12/03/2017,Anavitória,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,True,-23.1923541,-46.8809098
15/03/2017,Rubel,Festival Sai da rede,Centro Cultural Banco do Brasil São Paulo,"R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000",False,False,False,False,True,-23.5478547,-46.6345854
07/10/2017,Vanguart,Teatro Eva Wilma,Teatro Eva Wilma,"R. Antônio de Lucena, 146 - Chácara Califórnia, São Paulo - SP, 03407-050",False,False,False,False,True,-23.5438768,-46.5500434
07/11/2017,Iza,Allianz Parque,Allianz Parque,"Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200",False,True,False,False,True,-23.5259385,-46.6789892
07/11/2017,Coldplay,Allianz Parque,Allianz Parque,"Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200",False,False,True,False,True,-23.5259385,-46.6789892
30/06/2018,Silva,SESC Vila Mariana,SESC Vila Mariana,"R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000",False,False,False,False,True,-23.5817565,-46.6441764
30/07/2018,Rubel,SESC Carmo,SESC Carmo,"R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020",False,False,False,False,True,-23.5517171,-46.630173
17/08/2018,Lenine,SESC Pinheiros,SESC Pinheiros,"R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150",False,False,False,False,True,-23.5677223,-46.69759149999999
19/05/2019,Pitty,Virada Cultural,Av. Rio Branco,"Av. Rio Branco, 343 - Campos Elíseos, São Paulo - SP, 01205-000",True,False,False,True,True,-23.539933,-46.640032
19/05/2019,Anelis Assumpção (com Tulipa Ruiz e Negro Léo),Virada Cultural,Copan,"Av. Ipiranga, 200 - Centro Histórico de São Paulo, São Paulo - SP, 01046-010",True,False,False,True,True,-23.5466038,-46.6448943
29/06/2019,Silva,SESC Pq. Dom Pedro,SESC Pq. Dom Pedro,"Praça São Vito, s/n - Brás, São Paulo - SP, 03007-030",False,False,False,False,True,-23.5428554,-46.6276346
13/08/2019,Rubel,Teatro Porto Seguro,Teatro Porto Seguro,"Alameda Barão de Piracicaba, 740 - Campos Elíseos, São Paulo - SP, 01216-010",False,False,False,False,True,-23.530238,-46.6453575
02/11/2019,Vanguart,SESC Belenzinho,SESC Belenzinho,"R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000",False,False,False,False,True,-23.5442271,-46.5846448
10/12/2021,Maglore,Cine Joia,Cine Joia,"Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040",False,False,False,False,True,-23.55338,-46.6359489
20/02/2022,Vanguart,Casa Natura Musical,Casa Natura Musical,"R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005",False,False,False,False,True,-23.5678396,-46.6907636
12/03/2022,Marina Sena,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,True,-23.525321,-46.683325
11/04/2022,Tim Bernardes,SESC Vila Mariana,SESC Vila Mariana,"R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000",False,False,False,False,True,-23.5817565,-46.6441764
01/05/2022,Johnny Hooker,SESC Pinheiros,SESC Pinheiros,"R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150",False,False,False,False,True,-23.5677223,-46.69759149999999
19/05/2022,McFly,Espaço Unimed,Espaço Unimed,"R. Tagipuru, 795 - Barra Funda, São Paulo - SP, 01156-000",False,False,True,False,True,-23.5280425,-46.6679697
26/06/2022,Maglore,SESC Pinheiros,SESC Pinheiros,"R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150",False,False,False,False,True,-23.5677223,-46.69759149999999
03/07/2022,Emicida,Festival Turá,Ibirapuera,"Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050",False,False,False,True,True,-23.5832685,-46.6523542
03/07/2022,Duda Beat,Festival Turá,Ibirapuera,"Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050",False,False,False,True,True,-23.5832685,-46.6523542
03/07/2022,Paulinho da Viola,Festival Turá,Ibirapuera,"Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050",False,False,False,True,True,-23.5832685,-46.6523542
13/08/2022,Tuyo,Centro Cultural Olido,Centro Cultural Olido,"Av. São João, 473 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000",True,False,False,False,True,-23.5434541,-46.6390538
11/03/2023,Elke,Centro Esportivo Tietê,Centro Esportivo Tietê,"Av. Santos Dumont, 843 - Luz, São Paulo - SP, 01101-000",False,True,False,False,True,-23.5213511,-46.6305995
11/03/2023,Paramore,Centro Esportivo Tietê,Centro Esportivo Tietê,"Av. Santos Dumont, 843 - Luz, São Paulo - SP, 01101-000",False,False,True,False,True,-23.5213511,-46.6305995
25/04/2023,Liniker,Teatro Bradesco,Teatro Bradesco,"Rua Palestra Itália, 500 - Loja 263, 3° Piso - Perdizes, 05005-900",False,False,False,False,True,-23.5264274,-46.6808813
23/07/2023,Maglore,SESC Itaquera,SESC Itaquera,"Av. Fernando do Espírito Santo Alves de Mattos, 1000 - Itaquera, São Paulo - SP, 08265-045",True,False,False,False,True,-23.5825681,-46.470467
26/08/2023,Tuyo,SESC Consolação,SESC Consolação,"R. Dr. Vila Nova, 245 - Vila Buarque, São Paulo - SP, 01222-020",False,False,False,False,True,-23.5460385,-46.650093
10/09/2023,IZA,The Town,Autódromo de Interlagos,"Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-097",False,False,False,True,True,-23.7050814,-46.70089489999999
10/09/2023,Marina Sena,The Town,Autódromo de Interlagos,"Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-098",False,False,False,True,True,-23.7050814,-46.70089489999999
10/09/2023,Pabllo Vittar,The Town,Autódromo de Interlagos,"Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-099",False,False,False,True,True,-23.7050814,-46.70089489999999
10/05/2014,Vespas Mandarinas,Festival CCBB de Música Urbana,Vale do Anhangabaú,"Centro Histórico de São Paulo, São Paulo - SP, 01010-001",True,False,False,True,False,-23.5406338,-46.6320967
18/04/2015,Tulipa Ruiz,SESC Jundiaí,SESC Jundiaí,"Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206",True,False,False,False,False,-23.1689286,-46.92025410000001
24/04/2015,Vivendo do Ócio,Livraria Cultura Bourbon,Bourbon Shopping,"Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030",True,False,False,False,False,-23.526536,-46.68102
13/06/2015,Tay Galega,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,True,False,False,False,-23.5538209,-46.6461313
13/06/2015,A Banda Mais Bonita da Cidade,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,False,False,False,False,-23.5538209,-46.6461313
04/07/2015,Supercombo,Monster Music Store,Monster Music Store,"R. Teodoro Sampaio, 918 - Pinheiros, São Paulo - SP, 05406-050",True,False,False,False,False,-23.5583554,-46.6789901
26/07/2015,Supercombo,Aldeia Jundiaí,Aldeia Jundiaí,"R. Dr. Torres Neves, 111 - Centro, Jundiaí - SP, 13201-058",False,False,False,False,False,-23.1860874,-46.8798022
28/08/2015,Scalene,Livraria Cultura Bourbon,Bourbon Shopping,"Rua Palestra Itália, 500 - Piso 3 - Loja 211 - Perdizes, São Paulo - SP, 05005-030",True,False,False,False,False,-23.526536,-46.68102
18/10/2015,Far from Alaska,Carioca Club,Carioca Club Pinheiros,"Rua Cardeal Arcoverde, 2899 - Pinheiros, São Paulo - SP, 05407-004",False,False,False,False,False,-23.5693031,-46.6947941
18/10/2015,Maglore,Carioca Club,Carioca Club Pinheiros,"Rua Cardeal Arcoverde, 2899 - Pinheiros, São Paulo - SP, 05407-004",False,False,False,False,False,-23.5693031,-46.6947941
18/10/2015,Supercombo,Carioca Club,Carioca Club Pinheiros,"Rua Cardeal Arcoverde, 2899 - Pinheiros, São Paulo - SP, 05407-004",False,False,False,False,False,-23.5693031,-46.6947941
15/12/2015,Maglore,FNAC Paulista,FNAC Paulista,"Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100",True,False,False,False,False,-23.56579,-46.65145
24/01/2016,Vanguart,SESC Santana,SESC Santana,"Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100",False,False,False,False,False,-23.4966637,-46.6127013
02/04/2016,Locus,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,True,False,False,False,-23.5538209,-46.6461313
02/04/2016,Martin,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,True,False,False,False,-23.5538209,-46.6461313
02/04/2016,Selvagens à Procura de Lei,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,False,False,False,False,-23.5538209,-46.6461313
02/04/2016,Vivendo do Ócio,Teatro Mars,Teatro Mars,"Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020",False,False,False,False,False,-23.5538209,-46.6461313
03/04/2016,Tiago Iorc,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,False,-23.1923541,-46.8809098
12/04/2016,Vanguart,FNAC Paulista,FNAC Paulista,"Av. Paulista, 901 - Bela Vista, São Paulo - SP, 01311-100",True,False,False,False,False,-23.56579,-46.65145
14/05/2016,Dingo Bells,Festival Path,Praça Professor Resende Puech,"Praça Prof. Resende Puech - PinheirosSão Paulo - SP, 05444-070",True,False,False,True,False,-23.5593183,-46.6965712
14/05/2016,O Terno,Festival Path,Praça Professor Resende Puech,"Praça Prof. Resende Puech - PinheirosSão Paulo - SP, 05444-070",True,False,False,True,False,-23.5593183,-46.6965712
12/06/2016,Rodrigo (Parte),Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Leo Fressato,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Marujos,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Ana Muller,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Vivendo do Ócio,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Rubel,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Tubaranda,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
12/06/2016,Zimbra,Festival Pindorama Brasil 2,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,True,False,-23.5614287,-46.692925
17/07/2016,Thiago Pethit,Fusão Chá com Limão,Vale do Anhangabaú,"Centro Histórico de São Paulo, São Paulo - SP, 01010-001",True,False,False,False,False,-23.5406338,-46.6320967
17/07/2016,Rodrigo Pitta,Fusão Chá com Limão,Vale do Anhangabaú,"Centro Histórico de São Paulo, São Paulo - SP, 01010-001",True,False,False,False,False,-23.5406338,-46.6320967
25/07/2016,Esteban,SESC Carmo,SESC Carmo,"R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020",False,False,False,False,False,-23.5517171,-46.630173
31/07/2016,Vespas Mandarinas,SESC Consolação,SESC Consolação,"R. Dr. Vila Nova, 245 - Vila Buarque, São Paulo - SP, 01222-020",False,False,False,False,False,-23.5460385,-46.650093
20/08/2016,A Banda Mais Bonita da Cidade,Teatro Sérgio Cardoso,Teatro Sérgio Cardoso,"R. Rui Barbosa, 153 - Bela Vista, São Paulo - SP, 01326-010",False,False,False,False,False,-23.5567529,-46.6453254
26/08/2016,O Terno,Unibes Cultural,Unibes Cultural,"R. Oscar Freire, 2500 - Sumaré, São Paulo - SP, 05409-012",True,False,False,False,False,-23.5509112,-46.678317
04/09/2016,Baleia,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
15/10/2016,Vanguart,SESC Bom Retiro,SESC Bom Retiro,"Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000",False,False,False,False,False,-23.5310655,-46.6433043
16/10/2016,Ventre,Estúdio,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,False,False,-23.5614287,-46.692925
16/10/2016,E a terra nunca me pareceu tão distante,Estúdio,Estúdio,"Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001",False,False,False,False,False,-23.5614287,-46.692925
02/12/2016,Supercombo,Comic Con Experience,São Paulo Expo,"1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900",False,False,False,False,False,-23.6247188,-46.628892
07/12/2016,Simple Plan,Citibank Hall,Citibank Hall,"Av. das Nações Unidas, 17955 - Vila Almeida, São Paulo - SP, 04795-100",False,False,True,False,False,-23.64868,-46.724687
15/12/2016,O Terno,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
20/01/2017,Hierofante Púrpura + Ventre,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
25/01/2017,Supercombo,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
19/03/2017,Vanguart,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
13/04/2017,E a terra nunca me pareceu tão distante,Breve,Breve rua Clélia 470,"R. Clélia, 470 - Pompeia, São Paulo - SP, 05042-000",False,False,False,False,False,-23.5247978,-46.6870026
13/04/2017,Ventre,Breve,Breve rua Clélia 470,"R. Clélia, 470 - Pompeia, São Paulo - SP, 05042-000",False,False,False,False,False,-23.5247978,-46.6870026
07/05/2017,Silva,SESC Santana,SESC Santana,"Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100",False,False,False,False,False,-23.4966637,-46.6127013
28/05/2017,Vespas Mandarinas,Cine Joia,Cine Joia,"Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040",False,False,False,False,False,-23.55338,-46.6359489
28/05/2017,Selvagens à Procura de Lei,Cine Joia,Cine Joia,"Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040",False,False,False,False,False,-23.55338,-46.6359489
08/07/2017,Baleia,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
14/07/2017,Maglore,CCSP,Centro Cultural São Paulo,"Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000",False,False,False,False,False,-23.5714751,-46.6402144
16/07/2017,Zimbra,Av. Paulista,Vão do MASP,"Av. Paulista, 1578 - Bela Vista, São Paulo - SP, 01310-200",True,False,False,False,False,-23.5615171,-46.655961
14/10/2017,Ventre,Sacola Alternativa,Praça das Artes,"Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000",True,False,False,True,False,-23.544382,-46.6373772
14/10/2017,Tiê,Sacola Alternativa,Praça das Artes,"Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000",True,False,False,True,False,-23.544382,-46.6373772
14/10/2017,Drik Barbosa,Sacola Alternativa,Praça das Artes,"Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000",True,False,False,True,False,-23.544382,-46.6373772
15/11/2017,O Terno,SESC Santana,SESC Santana,"Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100",False,False,False,False,False,-23.4966637,-46.6127013
